Sl. No.,Item Description,Date,Amount
1,Tea @ Hotel Fern Residency,30/10/2025,Rs. 698.00
2,Registration of Association,15/11/2025,"Rs. 8,500.00"
3,Photocopying and lamination,15/11/2025,"Rs. 1,200.00"
4,Tea @ Hotel Fern Residency,25/11/2025,"Rs. 1,575.00"
5,Association Seals,29/11/2025,"Rs. 3,500.00"
6,Tea @ Hotel President,29/11/2025,Rs. 110.00
7,PAN application,01/12/2025,Rs.  150.00
8,Association name board,10/12/2025,"Rs.  1,260.00"
Expenditures Done by Er. Asif Dhanwad towards Registration,Sub Total Rs,"Rs. 16,993.00",
1,Advance for Hall booking,27/11/2025,"Rs. 5,000.00"
2,Tea @ Hotel President,05/12/2025,"Rs.  1,036.00"
3,Dinner at Hotel President,17/12/2025,"Rs.  1,909.00"
4,Inaugural Function Invitation Card printing,18/12/2025,"Rs.  1,870.00"
5,SEA Brochures,18/12/2025,"Rs.  5,700.00"
6,"Mementoes, Lapel Pins and Certificates",19/12/2025,"Rs.  38,645.00"
7,Dinner at Hotel President,19/12/2025,"Rs.  9,493.00"
Expenditures Done by Er. Asif Dhanwad,Sub Total Rs,"Rs.  63,653.00",
1,Bhavani Photo Mart -Visvesvarayya Photo frame,11/12/2025,Rs- 800.00
2,Dhaneshwari OffsetPrinters- Towards Banner & Cutout,16/12/2025,"Rs. 2,190.00"
3,Hanuman Stationery Mart - Stationery purchase,16/12/2025,"Rs-1,728.00"
4,Krishna Gift Center - Volunteers Gift,16/12/2025,"Rs-1,500.00"
5,Snacks at Hotel President,15/12/2025,"Rs-1,435.00"
6,Ratan Agencies - Stationery,15/12/2025,Rs- 877.00
7,Goyal Infotronics India Pvt Ltd- 1 TB hard disk,18/12/2025,"Rs- 6,800.00"
8,Raashi Center,18/12/2025,Rs- 361.00
9,Dhaneshwari Offset Printers- Banner Designing,17/12/2025,Rs- 800.00
10,Dhaneshwari Offset Printers- Banners printing,18/12/2025,Rs- 700.00
11,Datta Print Zone - Printouts,19/12/2025,Rs- 525.00
12,Ratan Agencies - Stationery,18/12/2025,Rs- 890.00
13,Ravi Kirana Stores - Biscuits & water bottle purchase,20/12/2025,Rs- 650.00
14,Amount paid to auto owner for shifting of plant,20/12/2025,Rs- 300.00
15,Flower Bouquets,20/12/2025,Rs- 700.00
Cash Expenditures Already Done by Er.ADARSH  GUPTA                   Total,"Rs - 20,256.00",,
"",,,
"Total Expenditures of the Inaugural Event of SEA, D = B + C","Rs- 83,909.00",,
"",,,
"Overall Expenditures Already done by Asif Iqbal Danwad, E= A + B","Rs- 80,646.00",,
"",,,
CASH EXPENDITURES DONE TOWARDS 1ST TECHNICAL EVENT ON 17/01/2026,,,,
1,Flower Bouquets,17/01/2026,Rs.  550.00,
2,Mementoes to Guests,17/01/2026,"Rs.  1,840.00",
3,Banner of SEA for the technical event,17/01/2026,Rs.  760.00,
4,Miscellaneous Expenses,16/01/2026,Rs- 94.00,
Expenditures Already Done by Er. ADARSH  GUPTA                   Total,Rs. 3244.00,F,,
"",,,,
"",TOTAL AMOUNT G = C + F,"Rs. 23,500.00",G,
"",,,,
Amount Collected by Asif Dhanwad from MC members      Rs,"Rs.  45,000.00",,,
Amount Collected in cash by Adarsh Gupta from MC members Rs,"Rs.  30,000.00",,,
"",,,,
Balance amount left in cash with Er.Adarsh Gupta (30000-23500),"Rs.  6,500.00",H,,
"",,,,
Balance amount to be paid in Cheque to Asif Dhanwad (80646-45000),"Rs- 35,646.00",I,,
"",,,,
"",,,,
"",,,,
"",,,,
